fighterid,link
435,http://ufcstats.com/fighter-details/e803242fb2e41112
436,http://ufcstats.com/fighter-details/6370c1c1e12723d5
437,http://ufcstats.com/fighter-details/a67f5afa8d6a1b80
438,http://ufcstats.com/fighter-details/0c25d0a5e8cdbf19
439,http://ufcstats.com/fighter-details/f1ab6f37492c630a
440,http://ufcstats.com/fighter-details/fc0a4053eb8a3a59
441,http://ufcstats.com/fighter-details/d3df1add9d9a7efb
442,http://ufcstats.com/fighter-details/17923f676f100e16
443,http://ufcstats.com/fighter-details/4a28cb716c19157a
444,http://ufcstats.com/fighter-details/751de04455cfaac0
445,http://ufcstats.com/fighter-details/583ee11abddfc581
446,http://ufcstats.com/fighter-details/be9bdec19b7e9ffe
447,http://ufcstats.com/fighter-details/c15fa95b9a12fde4
448,http://ufcstats.com/fighter-details/3e8118c1ab52f211
449,http://ufcstats.com/fighter-details/b0d6a1d8ac3d563d
450,http://ufcstats.com/fighter-details/5442f1bc4b47eaf3
451,http://ufcstats.com/fighter-details/c68c68efaa5ca6ef
452,http://ufcstats.com/fighter-details/729d4bd5a6cd0a97
453,http://ufcstats.com/fighter-details/de594b35c45c2e9a
454,http://ufcstats.com/fighter-details/e99eb0ef25885de5
455,http://ufcstats.com/fighter-details/fb3e61720be4690c
456,http://ufcstats.com/fighter-details/3f4c3bc822bea45d
457,http://ufcstats.com/fighter-details/54f64b5e283b0ce7
458,http://ufcstats.com/fighter-details/853eb0dd5c0e2149
459,http://ufcstats.com/fighter-details/b6452706b373eea1
460,http://ufcstats.com/fighter-details/9256f591b30c073e
461,http://ufcstats.com/fighter-details/36541f1e6c5d4955
462,http://ufcstats.com/fighter-details/d8da10db80131bec
463,http://ufcstats.com/fighter-details/85497ffd934ecf7e
464,http://ufcstats.com/fighter-details/ab2a4b5e04dc5fe9
465,http://ufcstats.com/fighter-details/5444c5a201d3ee5a
466,http://ufcstats.com/fighter-details/c814b4c899793af6
467,http://ufcstats.com/fighter-details/e4a47b07044ddd72
468,http://ufcstats.com/fighter-details/fa6796c55d6c5440
469,http://ufcstats.com/fighter-details/739fd4fbb5d862f4
